sender_id,country,feed type,date,company_names,receiver_id,points,manager_id
1448519,India,award,10/17/2022,E,1441426,2000,
1448519,India,award,10/17/2022,E,1441428,2000,
1448519,India,award,10/17/2022,E,1441429,2000,
1448519,India,award,10/17/2022,E,1441430,2000,
1448519,India,award,10/17/2022,E,1441431,2000,
1448519,India,award,10/17/2022,E,1441432,2000,
1448519,India,award,10/17/2022,E,1441434,2000,
1448519,India,award,10/17/2022,E,1441436,2000,
1448519,India,award,10/17/2022,E,1441437,2000,
1448519,India,award,10/17/2022,E,1441438,2000,
1448519,India,award,10/17/2022,E,1441439,2000,
1448519,India,award,10/17/2022,E,1441441,2000,
1448519,India,award,10/17/2022,E,1441443,2000,
1448519,India,award,10/17/2022,E,1441444,2000,
1448519,India,award,10/17/2022,E,1441446,2000,
1448519,India,award,10/17/2022,E,1441447,2000,
1448519,India,award,10/17/2022,E,1441448,2000,
1448519,India,award,10/17/2022,E,1441449,2000,
1448519,India,award,10/17/2022,E,1441452,2000,
1448519,India,award,10/17/2022,E,1441453,2000,
1448519,India,award,10/17/2022,E,1441455,2000,
1448519,India,award,10/17/2022,E,1441456,2000,
1448519,India,award,10/17/2022,E,1441457,2000,
1448519,India,award,10/17/2022,E,1441458,2000,
1448519,India,award,10/17/2022,E,1441459,2000,
1448519,India,award,10/17/2022,E,1441469,2000,
1448519,India,award,10/17/2022,E,1441472,2000,
1448519,India,award,10/17/2022,E,1441474,2000,
1448519,India,award,10/17/2022,E,1441475,2000,
1448519,India,award,10/17/2022,E,1441477,2000,
1448519,India,award,10/17/2022,E,1441478,2000,
1448519,India,award,10/17/2022,E,1441479,2000,
1448519,India,award,10/17/2022,E,1441480,2000,
1448519,India,award,10/17/2022,E,1441481,2000,
1448519,India,award,10/17/2022,E,1441482,2000,
1448519,India,award,10/17/2022,E,1441483,2000,
1448519,India,award,10/17/2022,E,1441484,2000,
1448519,India,award,10/17/2022,E,1441485,2000,
1448519,India,award,10/17/2022,E,1441487,2000,
1448519,India,award,10/17/2022,E,1441488,2000,
1448519,India,award,10/17/2022,E,1441489,2000,
1448519,India,award,10/17/2022,E,1441490,2000,
1448519,India,award,10/17/2022,E,1441491,2000,
1448519,India,award,10/17/2022,E,1441492,2000,
1448519,India,award,10/17/2022,E,1441493,2000,
1448519,India,award,10/17/2022,E,1441495,2000,
1448519,India,award,10/17/2022,E,1441497,2000,
1448519,India,award,10/17/2022,E,1441499,2000,
1448519,India,award,10/17/2022,E,1441500,2000,
1448519,India,award,10/17/2022,E,1441501,2000,
1448519,India,award,10/17/2022,E,1441502,2000,
1448519,India,award,10/17/2022,E,1441503,2000,
1448519,India,award,10/17/2022,E,1441504,2000,
1448519,India,award,10/17/2022,E,1441505,2000,
1448519,India,award,10/17/2022,E,1441508,2000,
1448519,India,award,10/17/2022,E,1441510,2000,
1448519,India,award,10/17/2022,E,1441513,2000,
1448519,India,award,10/17/2022,E,1441514,2000,
1448519,India,award,10/17/2022,E,1441515,2000,
1448519,India,award,10/17/2022,E,1441516,2000,
1448519,India,award,10/17/2022,E,1441517,2000,
1448519,India,award,10/17/2022,E,1441518,2000,
1448519,India,award,10/17/2022,E,1441519,2000,
1448519,India,award,10/17/2022,E,1441520,2000,
1448519,India,award,10/17/2022,E,1441523,2000,
1448519,India,award,10/17/2022,E,1441526,2000,
1448519,India,award,10/17/2022,E,1441528,2000,
1448519,India,award,10/17/2022,E,1441531,2000,
1448519,India,award,10/17/2022,E,1441532,2000,
1448519,India,award,10/17/2022,E,1441534,2000,
1448519,India,award,10/17/2022,E,1441538,2000,
1448519,India,award,10/17/2022,E,1441539,2000,
1448519,India,award,10/17/2022,E,1441540,2000,
1448519,India,award,10/17/2022,E,1441541,2000,
1448519,India,award,10/17/2022,E,1441542,2000,
1448519,India,award,10/17/2022,E,1441544,2000,
1448519,India,award,10/17/2022,E,1441545,2000,
1448519,India,award,10/17/2022,E,1441546,2000,
1448519,India,award,10/17/2022,E,1441547,2000,
1448519,India,award,10/17/2022,E,1441548,2000,
1448519,India,award,10/17/2022,E,1441553,2000,
1448519,India,award,10/17/2022,E,1441554,2000,
1448519,India,award,10/17/2022,E,1441556,2000,
1448519,India,award,10/17/2022,E,1441558,2000,
1448519,India,award,10/17/2022,E,1441559,2000,
1448519,India,award,10/17/2022,E,1441560,2000,
1448519,India,award,10/17/2022,E,1441561,2000,
1448519,India,award,10/17/2022,E,1441563,2000,
1448519,India,award,10/17/2022,E,1441565,2000,
1448519,India,award,10/17/2022,E,1441566,2000,
1448519,India,award,10/17/2022,E,1441568,2000,
1448519,India,award,10/17/2022,E,1441569,2000,
1448519,India,award,10/17/2022,E,1441570,2000,
1448519,India,award,10/17/2022,E,1441571,2000,
1448519,India,award,10/17/2022,E,1441572,2000,
1448519,India,award,10/17/2022,E,1441573,2000,
1448519,India,award,10/17/2022,E,1441574,2000,
1448519,India,award,10/17/2022,E,1441575,2000,
1448519,India,award,10/17/2022,E,1441577,2000,
1448519,India,award,10/17/2022,E,1441578,2000,
1448519,India,award,10/17/2022,E,1441579,2000,
1448519,India,award,10/17/2022,E,1441580,2000,
1448519,India,award,10/17/2022,E,1441581,2000,
1448519,India,award,10/17/2022,E,1441582,2000,
1448519,India,award,10/17/2022,E,1441583,2000,
1448519,India,award,10/17/2022,E,1441585,2000,
1448519,India,award,10/17/2022,E,1441586,2000,
1448519,India,award,10/17/2022,E,1441587,2000,
1448519,India,award,10/17/2022,E,1441588,2000,
1448519,India,award,10/17/2022,E,1441589,2000,
1448519,India,award,10/17/2022,E,1441590,2000,
1448519,India,award,10/17/2022,E,1441591,2000,
1448519,India,award,10/17/2022,E,1441592,2000,
1448519,India,award,10/17/2022,E,1441594,2000,
1448519,India,award,10/17/2022,E,1441596,2000,
1448519,India,award,10/17/2022,E,1441597,2000,
1448519,India,award,10/17/2022,E,1441598,2000,
1448519,India,award,10/17/2022,E,1441599,2000,
1448519,India,award,10/17/2022,E,1441600,2000,
1448519,India,award,10/17/2022,E,1441601,2000,
1448519,India,award,10/17/2022,E,1441602,2000,
1448519,India,award,10/17/2022,E,1441603,2000,
1448519,India,award,10/17/2022,E,1441604,2000,
1448519,India,award,10/17/2022,E,1441605,2000,
1448519,India,award,10/17/2022,E,1441612,2000,
1448519,India,award,10/17/2022,E,1441613,2000,
1448519,India,award,10/17/2022,E,1441615,2000,
1448519,India,award,10/17/2022,E,1441617,2000,
1448519,India,award,10/17/2022,E,1441618,2000,
1448519,India,award,10/17/2022,E,1441619,2000,
1448519,India,award,10/17/2022,E,1441620,2000,
1448519,India,award,10/17/2022,E,1441621,2000,
1448519,India,award,10/17/2022,E,1441623,2000,
1448519,India,award,10/17/2022,E,1441625,2000,
1448519,India,award,10/17/2022,E,1441626,2000,
1448519,India,award,10/17/2022,E,1441627,2000,
1448519,India,award,10/17/2022,E,1441628,2000,
1448519,India,award,10/17/2022,E,1441629,2000,
1448519,India,award,10/17/2022,E,1441630,2000,
1448519,India,award,10/17/2022,E,1441631,2000,
1448519,India,award,10/17/2022,E,1441632,2000,
1448519,India,award,10/17/2022,E,1441633,2000,
1448519,India,award,10/17/2022,E,1441635,2000,
1448519,India,award,10/17/2022,E,1441637,2000,
1448519,India,award,10/17/2022,E,1441638,2000,
1448519,India,award,10/17/2022,E,1441639,2000,
